SAN,In Use?,split cert already created?,us-east-1 or us-west-2,client_id,aws_profile,local_domain,servers_added,name_filters
aspgov.com,yes,,,,,,
*.ancocloud.aspgov.com,yes,,us-east-1,ANCO,PALegacyFinEntANCO,anco.cloud.lcl,,"trkwb,etawb"
*.brentcloud.aspgov.com,yes,,,BRENT,PALegacyFinEntBRENT,brent.cloud.lcl,,"trkwb,etawb"
*.bruncld.aspgov.com,no,,,BRUN,PALegacyFinEntBRUN,brun.cloud.lcl,,
*.bruncloud.aspgov.com,yes,,,BRUN,PALegacyFinEntBRUN,brun.cloud.lcl,,"trkwb,etawb"
*.calcocloud.aspgov.com,no,,,CALCO,PALegacyFinEntCALCO,calco.cloud.lcl,,
*.camcld.aspgov.com,no,,,CAM,PALegacyFinEntCAM,cam.cloud.lcl,,
*.camcloud.aspgov.com,yes,,,CAM,PALegacyFinEntCAM,cam.cloud.lcl,,"trkwb,etawb"
*.cascloud.aspgov.com,yes,,,CAS,PALegacyFinEntCAS,cas.cloud.lcl,,"trkwb,etawb"
*.casscld.aspgov.com,no,,,CASS,PALegacyFinEntCASS,cass.cloud.lcl,,
*.ccwdcloud.aspgov.com,yes,yes,,CCWD,PALegacyFinEntCCWD,ccwd.cloud.lcl,,
*.cmvcloud.aspgov.com,yes,,,CMV,PALegacyFinEntCMV,cmv.cloud.lcl,,"trkwb,etawb"
*.coacloud.aspgov.com,yes,,,COA,PALegacyFinEntCOA,coa.cloud.lcl,,"trkwb,etawb"
*.cosccloud.aspgov.com,yes,,,COSC,PALegacyFinEntCOSC,cosc.cloud.lcl,,"trkwb,etawb"
*.cosmcloud.aspgov.com,yes,,,COSM,PALegacyFinEntCOSM,cosm.cloud.lcl,,"trkwb,etawb"
*.cowcloud.aspgov.com,yes,,,COW,PALegacyFinEntCOW,cow.cloud.lcl,,"trkwb,etawb"
*.dalycloud.aspgov.com,yes,,,DALY,PALegacyFinEntDALY,daly.cloud.lcl,,"trkwb,etawb"
*.demo1cloud.aspgov.com,no,,,DEMO1,PALegacyFinEntDEMO1,demo1.cloud.lcl,,
*.demo2cloud.aspgov.com,no,,,DEMO2,PALegacyFinEntDEMO2,demo2.cloud.lcl,,
*.dentcloud.aspgov.com,no,,,DENT,PALegacyFinEntDENT,dent.cloud.lcl,,
*.devcloud.aspgov.com,no,,,DEV,PALegacyFinEntDEV,dev.cloud.lcl,,
