Name,DistinguishedName,Company
Org-Amherstburg,"OU=Org-Amherstburg,OU=OU - Citizens,DC=apteanps,DC=local","Amherstburg, ON"
Org-AntigonishCounty,"OU=Org-AntigonishCounty,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of the County of Antigonish, NS"
Org-Ashcroft,"OU=Org-Ashcroft,OU=OU - Citizens,DC=apteanps,DC=local","Ashcroft, BC"
Org-Ashfield,"OU=Org-Ashfield,OU=OU - Citizens,DC=apteanps,DC=local","Ashfield Colborne Wawanosh, ON"
Org-Atikokan,"OU=Org-Atikokan,OU=OU - Citizens,DC=apteanps,DC=local","Atikokan, ON"
Org-Berwick,"OU=Org-Berwick,OU=OU - Citizens,DC=apteanps,DC=local","Berwick, NS"
Org-Berwyn,"OU=Org-Berwyn,OU=OU - Citizens,DC=apteanps,DC=local","Berwyn, AB"
Org-Bighorn,"OU=Org-Bighorn,OU=OU - Citizens,DC=apteanps,DC=local","Municipal District of Bighorn, AB"
Org-BigLakes,"OU=Org-BigLakes,OU=OU - Citizens,DC=apteanps,DC=local","Big Lakes County, AB"
Org-BlindRiver,"OU=Org-BlindRiver,OU=OU - Citizens,DC=apteanps,DC=local","Blind River, ON"
Org-BLR,"OU=Org-BLR,OU=OU - Citizens,DC=apteanps,DC=local","Brudenell, Lyndoch And Raglan, ON"
Org-BonAccord,"OU=Org-BonAccord,OU=OU - Citizens,DC=apteanps,DC=local","Bon Accord, AB"
Org-Brooks,"OU=Org-Brooks,OU=OU - Citizens,DC=apteanps,DC=local","Brooks, AB"
Org-CacheCreek,"OU=Org-CacheCreek,OU=OU - Citizens,DC=apteanps,DC=local","Cache Creek, BC"
Org-CanalFlats,"OU=Org-CanalFlats,OU=OU - Citizens,DC=apteanps,DC=local","Canal Flats, BC"
Org-CarletonPlace,"OU=Org-CarletonPlace,OU=OU - Citizens,DC=apteanps,DC=local","Carleton Place, ON"
Org-Caroline,"OU=Org-Caroline,OU=OU - Citizens,DC=apteanps,DC=local","Caroline, AB"
Org-CavanMonaghan,"OU=Org-CavanMonaghan,OU=OU - Citizens,DC=apteanps,DC=local","Cavan Monaghan, ON"
Org-Chetwynd,"OU=Org-Chetwynd,OU=OU - Citizens,DC=apteanps,DC=local","Chetwynd, BC"
Org-Clearance-Rockland,"OU=Org-Clearance-Rockland,OU=OU - Citizens,DC=apteanps,DC=local","Clarence-Rockland, ON"
Org-Clearbrook,"OU=Org-Clearbrook,OU=OU - Citizens,DC=apteanps,DC=local","Clearbrook Waterworks District, BC"
Org-Clearview,"OU=Org-Clearview,OU=OU - Citizens,DC=apteanps,DC=local","Clearview, ON"
Org-CountyofGrandePrairie,"OU=Org-CountyofGrandePrairie,OU=OU - Citizens,DC=apteanps,DC=local","Grande Prairie County, AB"
Org-CowichanBay,"OU=Org-CowichanBay,OU=OU - Citizens,DC=apteanps,DC=local","Cowichan Bay Waterworks District, BC"
Org-CowichanValleyRD,"OU=Org-CowichanValleyRD,OU=OU - Citizens,DC=apteanps,DC=local","Cowichan Valley Regional District, BC"
Org-Cumberland,"OU=Org-Cumberland,OU=OU - Citizens,DC=apteanps,DC=local","Cumberland, BC"
Org-DeepRiver,"OU=Org-DeepRiver,OU=OU - Citizens,DC=apteanps,DC=local","Deep River, ON"
Org-Delburne,"OU=Org-Delburne,OU=OU - Citizens,DC=apteanps,DC=local","Delburne, AB"
Org-Delia,"OU=Org-Delia,OU=OU - Citizens,DC=apteanps,DC=local","Delia, AB"
ORG-Dewberry,"OU=ORG-Dewberry,OU=OU - Citizens,DC=apteanps,DC=local","Dewberry, AB"
ORG-Donnelly,"OU=ORG-Donnelly,OU=OU - Citizens,DC=apteanps,DC=local","Donnelly, AB"
Org-EastGwillimbury,"OU=Org-EastGwillimbury,OU=OU - Citizens,DC=apteanps,DC=local","East Gwillimbury, ON"
Org-EastHawkesbury,"OU=Org-EastHawkesbury,OU=OU - Citizens,DC=apteanps,DC=local","East Hawkesbury, ON"
Org-Edson,"OU=Org-Edson,OU=OU - Citizens,DC=apteanps,DC=local","Edson, AB"
Org-Espanola,"OU=Org-Espanola,OU=OU - Citizens,DC=apteanps,DC=local","Espanola, ON"
ORG-Esquimalt,"OU=ORG-Esquimalt,OU=OU - Citizens,DC=apteanps,DC=local","Esquimalt, BC"
Org-Estevan,"OU=Org-Estevan,OU=OU - Citizens,DC=apteanps,DC=local","Estevan, SK"
Org-Eston,"OU=Org-Eston,OU=OU - Citizens,DC=apteanps,DC=local","Eston, SK"
Org-EZT,"OU=Org-EZT,OU=OU - Citizens,DC=apteanps,DC=local","East Zorra-Tavistock, ON"
ORG-Falher,"OU=ORG-Falher,OU=OU - Citizens,DC=apteanps,DC=local","Falher, AB"
Org-FlinFlon,"OU=Org-FlinFlon,OU=OU - Citizens,DC=apteanps,DC=local","Flin Flon, MB"
Org-FortSmith,"OU=Org-FortSmith,OU=OU - Citizens,DC=apteanps,DC=local","Fort Smith, NT"
Org-FortyMile,"OU=Org-FortyMile,OU=OU - Citizens,DC=apteanps,DC=local","Forty Mile County, AB"
Org-FraserLake,"OU=Org-FraserLake,OU=OU - Citizens,DC=apteanps,DC=local","Fraser Lake, BC"
Org-FrontofYounge,"OU=Org-FrontofYounge,OU=OU - Citizens,DC=apteanps,DC=local","Front of Yonge, ON"
Org-Fruitvale,"OU=Org-Fruitvale,OU=OU - Citizens,DC=apteanps,DC=local","Fruitvale, BC"
Org-Girouxville,"OU=Org-Girouxville,OU=OU - Citizens,DC=apteanps,DC=local","Girouxville, AB"
Org-Glendon,"OU=Org-Glendon,OU=OU - Citizens,DC=apteanps,DC=local","Glendon, AB"
Org-GrandForks,"OU=Org-GrandForks,OU=OU - Citizens,DC=apteanps,DC=local","Grand Forks, BC"
Org-GreaterNapanne,"OU=Org-GreaterNapanne,OU=OU - Citizens,DC=apteanps,DC=local","Greater Napanee, ON"
Org-Greenstone,"OU=Org-Greenstone,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of Greenstone, ON"
Org-Greenwood,"OU=Org-Greenwood,OU=OU - Citizens,DC=apteanps,DC=local","Greenwood, BC"
Org-GreyHighlands,"OU=Org-GreyHighlands,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of Grey Highlands, ON"
Org-Guysborough,"OU=Org-Guysborough,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of the District of Guysborough, NS"
Org-HayRiver,"OU=Org-HayRiver,OU=OU - Citizens,DC=apteanps,DC=local","Hay River, NT"
Org-Highlands,"OU=Org-Highlands,OU=OU - Citizens,DC=apteanps,DC=local","District of Highlands, BC"
Org-Houston,"OU=Org-Houston,OU=OU - Citizens,DC=apteanps,DC=local","District of Houston, BC"
Org-Ignace,"OU=Org-Ignace,OU=OU - Citizens,DC=apteanps,DC=local","Ignace, ON"
ORG-ILCrosseSD,"OU=ORG-ILCrosseSD,OU=OU - Citizens,DC=apteanps,DC=local","Ile-A-La Crosse School Division No 112, SK"
Org-Inverness,"OU=Org-Inverness,OU=OU - Citizens,DC=apteanps,DC=local","Inverness County, NS"
Org-Kent,"OU=Org-Kent,OU=OU - Citizens,DC=apteanps,DC=local","District of Kent, BC"
Org-KHRTownship,"OU=Org-KHRTownship,OU=OU - Citizens,DC=apteanps,DC=local","Killaloe-Hagarty-Richards, ON"
Org-Kimberley,"OU=Org-Kimberley,OU=OU - Citizens,DC=apteanps,DC=local","Kimberley, BC"
Org-KingsCounty,"OU=Org-KingsCounty,OU=OU - Citizens,DC=apteanps,DC=local","Kings County, NS"
Org-KirklandLake,"OU=Org-KirklandLake,OU=OU - Citizens,DC=apteanps,DC=local","Kirkland Lake, ON"
Org-LakeOfBays,"OU=Org-LakeOfBays,OU=OU - Citizens,DC=apteanps,DC=local","Lake of Bays, ON"
Org-Lennox-Addington,"OU=Org-Lennox-Addington,OU=OU - Citizens,DC=apteanps,DC=local","Corp. of the County of Lennox & Addington, ON"
Org-LethbridgeCounty,"OU=Org-LethbridgeCounty,OU=OU - Citizens,DC=apteanps,DC=local","Lethbridge County, AB"
Org-MadawaskaValley,"OU=Org-MadawaskaValley,OU=OU - Citizens,DC=apteanps,DC=local","Madawaska Valley, ON"
Org-Marwayne,"OU=Org-Marwayne,OU=OU - Citizens,DC=apteanps,DC=local","Marwayne, AB"
Org-MayneIsland,"OU=Org-MayneIsland,OU=OU - Citizens,DC=apteanps,DC=local","Mayne Island Improvement District, BC"
ORG-MDPincherCreek,"OU=ORG-MDPincherCreek,OU=OU - Citizens,DC=apteanps,DC=local","MD of Pincher Creek, AB"
Org-MeadowLake,"OU=Org-MeadowLake,OU=OU - Citizens,DC=apteanps,DC=local","Meadow Lake, SK"
Org-Melfort,"OU=Org-Melfort,OU=OU - Citizens,DC=apteanps,DC=local","Melfort, SK"
Org-Melville,"OU=Org-Melville,OU=OU - Citizens,DC=apteanps,DC=local","Melville, SK"
Org-Merritt,"OU=Org-Merritt,OU=OU - Citizens,DC=apteanps,DC=local","Merritt, BC"
Org-Midland,"OU=Org-Midland,OU=OU - Citizens,DC=apteanps,DC=local","Midland, ON"
Org-MillBayWaterWorks,"OU=Org-MillBayWaterWorks,OU=OU - Citizens,DC=apteanps,DC=local","Mill Bay Waterworks, BC"
Org-MooseJaw,"OU=Org-MooseJaw,OU=OU - Citizens,DC=apteanps,DC=local","Moose Jaw, SK"
Org-Moosonee,"OU=Org-Moosonee,OU=OU - Citizens,DC=apteanps,DC=local","Moosonee, ON"
Org-MountWaddington,"OU=Org-MountWaddington,OU=OU - Citizens,DC=apteanps,DC=local","Regional District of Mount Waddington, BC"
Org-Mulgrave,"OU=Org-Mulgrave,OU=OU - Citizens,DC=apteanps,DC=local","Mulgrave, NS"
Org-NCRD,"OU=Org-NCRD,OU=OU - Citizens,DC=apteanps,DC=local","North Coast Regional District, BC"
Org-Nicomen,"OU=Org-Nicomen,OU=OU - Citizens,DC=apteanps,DC=local","Nicomen Island Improvement District, BC"
Org-Nipawin,"OU=Org-Nipawin,OU=OU - Citizens,DC=apteanps,DC=local","Nipawin, SK"
Org-NorthDumfries,"OU=Org-NorthDumfries,OU=OU - Citizens,DC=apteanps,DC=local","North Dumfries, ON"
Org-Northern Rockies,"OU=Org-Northern Rockies,OU=OU - Citizens,DC=apteanps,DC=local","Northern Rockies Regional Municipality, BC"
Org-NorthGrenville,"OU=Org-NorthGrenville,OU=OU - Citizens,DC=apteanps,DC=local","Municipality of North Grenville, ON"
Org-NorthKawartha,"OU=Org-NorthKawartha,OU=OU - Citizens,DC=apteanps,DC=local","North Kawartha, ON"
Org-NorthShore,"OU=Org-NorthShore,OU=OU - Citizens,DC=apteanps,DC=local","North Shore Township, ON"
ORG-Olds,"OU=ORG-Olds,OU=OU - Citizens,DC=apteanps,DC=local","Olds, AB"
ORG-Paradise,"OU=ORG-Paradise,OU=OU - Citizens,DC=apteanps,DC=local","Paradise, NL"
Org-Parkland,"OU=Org-Parkland,OU=OU - Citizens,DC=apteanps,DC=local","Parkland County, AB"
Org-Penetanguishene,"OU=Org-Penetanguishene,OU=OU - Citizens,DC=apteanps,DC=local","Penetanguishene, ON"
Org-PortHawkesbury,"OU=Org-PortHawkesbury,OU=OU - Citizens,DC=apteanps,DC=local","Port Hawkesbury, NS"
Org-PrinceEdward,"OU=Org-PrinceEdward,OU=OU - Citizens,DC=apteanps,DC=local","Prince Edward County, ON"
Org-Provost,"OU=Org-Provost,OU=OU - Citizens,DC=apteanps,DC=local","Municipal District of Provost, AB"
Org-QualicumBay,"OU=Org-QualicumBay,OU=OU - Citizens,DC=apteanps,DC=local","NA Qualicum Bay Horne Lake Water District, BC"
Org-Quesnel,"OU=Org-Quesnel,OU=OU - Citizens,DC=apteanps,DC=local","Quesnel, BC"
Org-RadiumHotSprings,"OU=Org-RadiumHotSprings,OU=OU - Citizens,DC=apteanps,DC=local","Radium Hot Springs, BC"
ORG-RainbowLake,"OU=ORG-RainbowLake,OU=OU - Citizens,DC=apteanps,DC=local","Rainbow Lake, AB"
Org-RegionalWaste,"OU=Org-RegionalWaste,OU=OU - Citizens,DC=apteanps,DC=local","Mountain View Regional Waste Mgmt, AB"
Org-Renfrew,"OU=Org-Renfrew,OU=OU - Citizens,DC=apteanps,DC=local","Renfrew, ON"
Org-Richmond,"OU=Org-Richmond,OU=OU - Citizens,DC=apteanps,DC=local","Richmond County, NS"
ORG-RmSpringfield,"OU=ORG-RmSpringfield,OU=OU - Citizens,DC=apteanps,DC=local","Springfield, MB"
Org-Rossland,"OU=Org-Rossland,OU=OU - Citizens,DC=apteanps,DC=local","Rossland, BC"
