"Code","ClientName"
"BELT","BELTONMO"
"CAM","CAMDENCOUNTYCOLLEGENJ"
"CAS","CSUCHICOASSOCIATEDSTUDENTSCA"
"COSC","COLUMBIASC"
"COSM","SANMATEOCOUNTYCA"
"DHILL","CSUDOMINGUEZHILLSFOUNDATIONCA"
"EBPRK","EASTBAYREGIONALPARKSCA"
"ENC","ELECTRICITIESOFNORTHCAROLINANC"
"FIT","FASHIONINSTITUTEOFTECHNOLOGYNY"
"GGB","GOLDENGATEBRIDGEHIGHWAYTRANSITDISTRICTCA"
"GLENN","GLENNCOUNTYCA"
"IMP","IMPERIALCOUNTYCA"
"LWCL","LEWISANDCLARKCOUNTYMT"
"MAUI","MAUICOUNTYHI"
"OCLS","ORANGECOUNTYPUBLICLIBRARYSYSTEMFL"
"RACO","RANCHOCORDOVACA"
"SANA","SANANGELOTX"
"SJRTD","SANJOAQUINREGIONALTRANSITDISTRICTCA"
"SMIA","SOUTHMIAMIFL"
"SOL","SOLANOCOUNTYCA"
"STPB","STPETEBEACHFL"
"TRIN","TrinityCountyCA"
"TUKW","TUKWILAWA"
"YAVA","YAVAPAICOUNTYAZ"
