"SiteCode","Name","State"
"ALA","Alachua County Clerk of the Courts","FL"
"AVA","Avalon","CA"
"AVE","Avenal","CA"
"BAC","Bay County Clerk","FL"
"BRE","Bremerton","WA"
"BTV","Batavia","IL"
"BUE","Buena Park","CA"
"CCC","Clay County Clerk","FL"
"CIS","Citrus County Sheriff's Office","FL"
"CMT","Calumet City","IL"
"CSC","Central Sierra Child Support","CA"
"EME","Emeryville","CA"
"ERI","Erie","PA"
"FWL","Fowler","CA"
"GLO","Gloucester","VA"
"GRB","Greenbelt","MD"
"HFM","Hoffman Estates","IL"
"HIC","Highlands County","FL"
"LIN","Lindsay","CA"
"LIR","Livermore","CA"
"LMP","Lake Metroparks","OH"
"MEA","Meadville","PA"
"NWL","Norwalk","CA"
"OPA","Opa-locka","FL"
"ORO","Oroville","CA"
"PCG","Pacific Grove","CA"
"PET","Peters Township","PA"
"POU","Poulsbo","WA"
"RHE","Rolling Hills Estates","CA"
"SJC","St. John's County Clerk","FL"
"SRA","Saratoga","CA"
"SRS","Santa Rosa County Sheriff","FL"
"STA","Santa Rosa County","FL"
"TMK","Tompkins County","NY"
"TML","Temple City","CA"
"WAT","Walton County","GA"
"WCH","West Chicago","IL"
"WLN","Walnut","CA"
