SiteCode,Name,State,Version,UIDLNFI,CentroidOU
ala,Alachua County Clerk of the Courts,FL,5.2,,ALACHUACOUNTYCLERKOFTHECOURTSFL
ava,Avalon,CA,,,AVALONCA
ave,Avenal,CA,,,AVENALCA
bac,Bay County Clerk,FL,,,BAYCOUNTYCLERKCOURTFL
bre,Bremerton,WA,5.2,,BREMERTONWA
btv,Batavia,IL,5.2,,BATAVIAIL
bue,Buena Park,CA,5.2,,BUENAPARKCA
ccc,Clay County Clerk,FL,,,CLAYCOUNTYCLERKOFCIRCUITCOURTFL
cis,Citrus County Sheriff's Office,FL,5.2,,CITRUSCOUNTYSHERIFFSOFFICEPAFL
cmt,Calumet City,IL,5.2,,CALUMETCITYIL
csc,Central Sierra Child Support,CA,,,CENTRALSIERRACHILDSUPPORTAGENCYCA
eme,Emeryville,CA,5.2,,EMERYVILLECA
eri,Erie,PA,5.2,,ERIEPA
fwl,Fowler,CA,,,FOWLERCA
gld,Gladstone,MO,5.2,,GLADSTONEMO
glo,Gloucester,VA,5.2,,GLOUCESTERCOUNTYVA
hfm,Hoffman Estates,IL,5.2,Y,HOFFMANESTATESIL
hic,Highlands County,FL,5.2,,HIGHLANDSCOUNTYFL
lin,Lindsay,CA,,,LINDSAYCA
lir,Livermore,CA,,,LIVERMORECA
lmp,Lake Metroparks,OH,5.2,,LAKEMETROPARKSOH
mea,Meadville,PA,5.2,,MEADVILLEPA
nwl,Norwalk,CA,,,NORWALKCA
opa,Opa-locka,FL,,,OPALOCKAPOLICEFL
oro,Oroville,CA,5.2,,OROVILLECA
pcg,Pacific Grove,CA,5.2,,PACIFICGROVECA
pet,Peters Township,PA,5.2,,PETERSTOWNSHIPPA
pou,Poulsbo,WA,5.2,,POULSBOWA
rhe,Rolling Hills Estates,CA,5.2,,ROLLINGHILLSESTATESCA
sjc,St. John's County Clerk,FL,,,STJOHNSCOUNTYCLERKOFTHECOURTFL
sra,Saratoga,CA,5.2,,SARASOTACOUNTYFL
srs,Santa Rosa County Sheriff,FL,5.2,,SANTAROSACOUNTYSHERIFFFL
sta,Santa Rosa County,FL,5.2,,SANTAROSACOUNTYFL
tml,Temple City,CA,,,TEMPLECITYCA
tmk,Tompkins County,NY,5.2,,"Tompkins County, NY"
wat,Walton County,GA,5.2,,WALTONCOUNTYGA
wch,West Chicago,IL,5.2,,WESTCHICAGOIL
wln,Walnut,CA,,,WALNUTCA
