SAN,In Use?,split cert already created?,us-east-1 or us-west-2,client_id,aws_profile,local_domain,servers_added,name_filters
aspgov.com,yes,,,,,,,
*.ancocloud.aspgov.com,yes,,us-east-1,ANCO,PALegacyFinEntANCO,anco.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.brentcloud.aspgov.com,yes,,,BRENT,PALegacyFinEntBRENT,brent.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.bruncld.aspgov.com,no,,,BRUN,PALegacyFinEntBRUN,brun.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.bruncloud.aspgov.com,yes,,,BRUN,PALegacyFinEntBRUN,brun.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.calcocloud.aspgov.com,no,,,CALCO,PALegacyFinEntCALCO,calco.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.camcld.aspgov.com,no,,,CAM,PALegacyFinEntCAM,cam.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.camcloud.aspgov.com,yes,,,CAM,PALegacyFinEntCAM,cam.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.cascloud.aspgov.com,yes,,,CAS,PALegacyFinEntCAS,cas.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
*.casscld.aspgov.com,no,,,CASS,PALegacyFinEntCASS,cass.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.ccwdcloud.aspgov.com,yes,yes,,CCWD,PALegacyFinEntCCWD,ccwd.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf"
*.cmvcloud.aspgov.com,yes,,,CMV,PALegacyFinEntCMV,cmv.cloud.lcl,,"onsjb,onsap,onsrp,onsol,pxsf,trkwb,etawb"
